Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
1,4,"['LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']",0.40824229571988285,0.9265567514047108,3172.7256388223623,40.82422957198828,0.34023092893020257,1.0073237091952563,34.023092893020255,0.5,6
2,4,"['LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']",0.3923281153548276,0.958477873381289,3011.0557404280476,39.23281153548276,0.39047961911561085,0.8675589735001628,39.04796191156109,0.5,5
3,4,"['LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']",0.35417165265414713,1.0964073350227352,2565.481519604646,35.41716526541471,0.3609894322185476,1.0953802631789535,36.09894322185476,1.1,3
4,4,"['LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']",0.39097921500222355,0.8742500177801282,3284.6215076129124,39.097921500222355,0.5209779032312343,0.628336375565951,52.09779032312343,1.6,3
5,4,"['LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']",0.3036920924187297,1.1963044404471308,2624.8067827876503,30.36920924187297,0.518313171618107,0.638225792254813,51.831317161810695,1.9,3
6,4,"['LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']",0.3916233029246513,0.8951865073119151,3187.638086631711,39.16233029246513,0.5209018011759565,0.6402650998666987,52.09018011759565,2.0,3
7,4,"['LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.3707390226871424,0.958661472699085,3317.5815000596444,37.07390226871424,0.526321132287481,0.6218490937307334,52.6321132287481,1.6,3
8,4,"['LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.3901929159976931,0.8892102838089558,3251.0555511370803,39.01929159976931,0.5236065081051019,0.6316197722555967,52.36065081051019,1.9,3
9,4,"['LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.3950183879171682,0.8881542542797987,3252.0941969965024,39.50183879171682,0.5261262359117764,0.6335706879589239,52.612623591177645,2.0,3
10,4,"['OCC_DOW_Num', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']",0.23841241690711612,1.6064078626154177,1386.9991804475658,23.841241690711612,0.32256460868010656,1.3068217720105395,32.256460868010656,1.3,3
